objective_id,objective_name,kr_id,phase,priority,status,kr_title,metric,target,dependencies,notes
O2,Connector SDK and Ingestion Runtime,O2-KR07,Phase 2,P0,done,Persist connector cursor and checkpoint state,cursor persistence merged,cursor state stored and resumed across restarts,O2-KR06|O3-KR07,Repository-backed connector_state storage is wired into orchestrator cursor resume and update flow
O2,Connector SDK and Ingestion Runtime,O2-KR08,Phase 2,P0,done,Guard replay paths against duplicate event writes,idempotent replay verified,duplicate batch reruns create zero duplicate entries,O2-KR06|O3-KR08,Repository upsert tests prove duplicate batches do not create duplicate sources entries messages or chunks
O2,Connector SDK and Ingestion Runtime,O2-KR09,Phase 2,P1,done,Support run one and run all orchestrator invocation modes,run controls merged,orchestrator can run 1 source or all sources on demand,O2-KR06,Orchestrator supports run_source and run_all with coverage
O2,Connector SDK and Ingestion Runtime,O2-KR10,Phase 2,P0,done,Port Claude Code connector to scan_since and fetch contract,Claude connector migrated,Claude connector passes SDK contract and incremental scan fixtures,O2-KR03|O2-KR04,ClaudeCodeConnector implements discover health scan_since and fetch with incremental file mtime cursor
O2,Connector SDK and Ingestion Runtime,O2-KR11,Phase 2,P0,done,Port Brave connector to scan_since and fetch contract,Brave connector migrated,Brave connector passes SDK contract and incremental scan fixtures,O2-KR03|O2-KR04,BraveConnector implements discover health scan_since and fetch with visit_time cursor
O2,Connector SDK and Ingestion Runtime,O2-KR12,Phase 2,P1,done,Expose source health last sync and lag metadata,health metadata available,health info returned for every configured source,O2-KR05|O2-KR07|O2-KR10|O2-KR11,Source and ingest status now merge connector_state with connector health in /api/sources and /api/ingest/status
O2,Connector SDK and Ingestion Runtime,O2-KR13,Phase 2,P2,done,Add scheduler hook for periodic incremental sync,scheduler hook merged,scheduled sync can trigger incremental runs without manual action,O2-KR06|O2-KR07,IngestionScheduler added and wired to startup via CCHISTORY_SYNC_INTERVAL_SECONDS
O3,History Index and Storage Layer,O3-KR01,Phase 2,P0,done,Choose baseline index database and expand app config,storage config merged,1 database backend selected and configurable,O1-KR03,SQLite chosen as the initial index backend and wired into AppConfig via database_url
O3,History Index and Storage Layer,O3-KR02,Phase 2,P0,done,Add migration tooling and schema bootstrap,migration tooling working,initial schema can be created from clean state,O3-KR01,Synchronous SQLite migration runner bootstraps clean databases
O3,History Index and Storage Layer,O3-KR03,Phase 2,P0,done,Create sources table in index store,table created,1 sources table managed by migrations,O3-KR02,Initial SQL migration creates sources table
O3,History Index and Storage Layer,O3-KR04,Phase 2,P0,done,Create entries table with stable identity constraints,table created,entries table enforces unique source_id and origin_primary_key,O1-KR05|O3-KR02,Initial SQL migration creates entries table with source_id origin_primary_key uniqueness
O3,History Index and Storage Layer,O3-KR05,Phase 2,P0,done,Create messages table for normalized message bodies,table created,1 messages table linked to entries,O3-KR04,Initial SQL migration creates messages table
O3,History Index and Storage Layer,O3-KR06,Phase 2,P1,done,Create entry_chunks table for retrieval units,table created,1 entry_chunks table linked to entries,O3-KR04,Initial SQL migration creates entry_chunks table
O3,History Index and Storage Layer,O3-KR07,Phase 2,P0,done,Create distill_artifacts connector_state and ingest_runs tables,tables created,3 operational tables managed by migrations,O3-KR02,Initial SQL migration creates distill_artifacts connector_state and ingest_runs tables
O3,History Index and Storage Layer,O3-KR08,Phase 2,P0,done,Implement repository layer for idempotent upserts,repository layer merged,upserts are idempotent for sources entries and messages,O3-KR03|O3-KR04|O3-KR05,SQLite index repository now performs idempotent source entry message and chunk upserts plus connector state persistence
O3,History Index and Storage Layer,O3-KR09,Phase 2,P1,done,Store extracted chunks during ingestion,chunk pipeline merged,chunks generated for all searchable entries,O3-KR06|O3-KR08,Repository ingestion path now writes chunks from entry content or messages during event upsert
O3,History Index and Storage Layer,O3-KR10,Phase 2,P1,done,Add time source and project indexes,indexes created,btree indexes exist for timestamp source and project queries,O3-KR03|O3-KR04,Migration 0002 adds timestamp source project and type indexes for indexed list and filter queries
O3,History Index and Storage Layer,O3-KR11,Phase 2,P1,done,Add full-text or trigram indexes for title content and chunks,text indexes created,search indexes cover titles content and chunks,O3-KR06|O3-KR09,SQLite FTS5 entry_fts index added for title content and chunk search
O3,History Index and Storage Layer,O3-KR12,Phase 2,P0,done,Return summary and detail projections from repositories,read projections merged,repository can serve summary and detail shapes,O1-KR04|O3-KR08|O3-KR09,Repository now returns summary and detail projections and powers /api/entries handlers
O4,Retrieval and Search Quality,O4-KR01,Phase 3,P0,done,Introduce /api/entries summary list endpoint,summary endpoint available,1 index-backed list endpoint returns summary rows,O1-KR04|O3-KR12,Index-backed /api/entries list endpoint now serves summary projections
O4,Retrieval and Search Quality,O4-KR02,Phase 3,P0,done,Introduce /api/entries/{entry_id} detail endpoint,detail endpoint available,1 index-backed detail endpoint returns full entry detail,O1-KR04|O1-KR05|O3-KR12,Index-backed /api/entries/{entry_id} endpoint now serves full detail projections
O4,Retrieval and Search Quality,O4-KR03,Phase 3,P0,done,Implement cursor-based pagination end to end,cursor pagination working,list endpoint supports deterministic cursor pagination,O1-KR09|O4-KR01,/api/entries now supports opaque cursor pagination via X-Next-Cursor with deterministic repository ordering
O4,Retrieval and Search Quality,O4-KR04,Phase 3,P0,done,Query lexical search over title content and chunks,index search working,search runs fully against indexed content and chunks,O3-KR11,/api/search now uses repository FTS queries over indexed title content and chunk data
O4,Retrieval and Search Quality,O4-KR05,Phase 3,P1,done,Support source type project and date filters in search,search operators merged,search accepts all target filter operators,O4-KR04|O1-KR06,Search route now supports sources types project date_from and date_to filters
O4,Retrieval and Search Quality,O4-KR06,Phase 3,P1,done,Rank search using lexical score recency and field boosts,ranking model merged,ranked results combine lexical score and recency weighting,O4-KR04,Repository ranking combines bm25 field weighting with recency weighting
O4,Retrieval and Search Quality,O4-KR07,Phase 3,P1,done,Return snippets and highlights with search results,highlight response merged,search results include snippet and highlight fields,O4-KR04|O4-KR06,SearchHit now returns snippet score and highlights from the FTS index
O4,Retrieval and Search Quality,O4-KR08,Phase 3,P0,done,Convert legacy /api/history and /api/search routes into compatibility wrappers,compatibility wrappers merged,legacy routes read from index without direct fan-out,O4-KR01|O4-KR02|O4-KR04|O1-KR08,/api/history and /api/search now read from the index repository instead of live source fan-out
O4,Retrieval and Search Quality,O4-KR09,Phase 3,P1,done,Benchmark list and search latency against SLO targets,latency benchmark recorded,p95 recorded for list and search under target dataset,O4-KR03|O4-KR06|O4-KR07,Benchmark harness recorded list p95 6.709ms and search p95 17.671ms on the synthetic dataset under target thresholds
O4,Retrieval and Search Quality,O4-KR10,Phase 3,P1,done,Remove direct fan-out query path after parity validation,fan-out path removed,all read paths served from index store only,O4-KR08|O8-KR05,Backend read routes and the web client now read exclusively from the index-backed entries search sources and distill APIs
O5,Distillation and Pattern Intelligence,O5-KR01,Phase 3,P1,done,Define distill artifact schema and persistence contract,artifact contract merged,1 distill artifact schema with storage contract,O1-KR03|O3-KR07,DistillArtifact schema and repository persistence helpers added on top of distill_artifacts
O5,Distillation and Pattern Intelligence,O5-KR02,Phase 3,P1,done,Create POST /api/distill/session command endpoint,distill endpoint available,1 write endpoint creates session distill artifacts,O5-KR01|O3-KR08,/api/distill/session now creates or updates session distill artifacts from indexed entries
O5,Distillation and Pattern Intelligence,O5-KR03,Phase 3,P1,done,Build session summarization job on normalized entries,summarization job merged,session distill summarizes normalized entry history,O5-KR02|O3-KR12,Heuristic distill job summarizes indexed entries selected by project source or entry IDs
O5,Distillation and Pattern Intelligence,O5-KR04,Phase 3,P2,done,Extract recurring patterns across topics tools and projects,pattern extraction merged,pattern artifacts include recurring themes and tools,O5-KR03|O3-KR09,Distill job extracts recurring keyword and tool patterns and records project context
O5,Distillation and Pattern Intelligence,O5-KR05,Phase 3,P1,done,Extract decisions and unresolved items from conversations,decision extraction merged,distill output includes decisions and open questions,O5-KR03,Decision and unresolved-item heuristics now populate distill artifacts
O5,Distillation and Pattern Intelligence,O5-KR06,Phase 3,P1,done,Support idempotent updates to existing distill artifacts,artifact upsert verified,repeated distill runs update existing artifacts without duplicates,O5-KR02|O3-KR08,Distill artifacts are upserted by stable artifact_id and verified by regression tests
O5,Distillation and Pattern Intelligence,O5-KR07,Phase 3,P1,done,Attach provenance links from distill artifacts back to entries,provenance links stored,every artifact references source entries by stable ID,O5-KR02|O1-KR05,DistillArtifact stores provenance_entry_ids for every contributing entry
O5,Distillation and Pattern Intelligence,O5-KR08,Phase 3,P2,done,Write derived tags and labels back into the index,derived labels persisted,tags are persisted for searchable entries,O5-KR04|O3-KR08,Distill tags are merged back into entries.tags_json for searchable indexed entries
O5,Distillation and Pattern Intelligence,O5-KR09,Phase 3,P1,done,Add regression fixtures for distill decisions patterns and provenance,distill regression suite passing,fixtures cover patterns decisions and provenance links,O5-KR04|O5-KR05|O5-KR07,Distill API tests cover idempotency provenance patterns decisions open questions and tag write-back
O6,Agent-Facing Chat2History APIs,O6-KR01,Baseline,P1,done,Ship MVP FastAPI health and read API surface,mvp API available,health sources history and search endpoints respond,,Current API serves health sources history and search routes
O6,Agent-Facing Chat2History APIs,O6-KR02,Phase 3,P0,done,Define Chat2History request and response schema,chat2history schema merged,1 typed request model and 1 typed response model,O1-KR06|O4-KR07,Typed Chat2History query response citation and context item models added with OpenAPI examples
O6,Agent-Facing Chat2History APIs,O6-KR03,Phase 3,P0,done,Implement POST /api/chat2history/query retrieval endpoint,chat2history endpoint available,endpoint returns top relevant contexts from index,O6-KR02|O4-KR06|O4-KR07,/api/chat2history/query now retrieves ranked indexed history contexts
O6,Agent-Facing Chat2History APIs,O6-KR04,Phase 3,P1,done,Assemble token-budgeted context with citations,context assembly merged,responses honor token budget and include citations,O6-KR03|O1-KR05,Chat2History trims context to a token budget and returns per-item citations keyed by stable entry IDs
O6,Agent-Facing Chat2History APIs,O6-KR05,Phase 3,P1,done,Support filters top_k and source controls for agent clients,agent filters merged,clients can set filters top_k and source controls,O6-KR03,Chat2History supports top_k sources types and project controls
O6,Agent-Facing Chat2History APIs,O6-KR06,Phase 3,P0,done,Return connector health lag and last run in GET /api/ingest/status,status endpoint available,ingest status returned for every configured source,O2-KR12|O3-KR07,/api/ingest/status exposes health lag cursor and last-run metadata per source
O6,Agent-Facing Chat2History APIs,O6-KR07,Phase 3,P0,done,Trigger connector runs from POST /api/ingest/run,ingest run endpoint available,endpoint runs one source or all sources on demand,O2-KR09|O6-KR06,/api/ingest/run executes run_source or run_all and records ingest_runs rows
O6,Agent-Facing Chat2History APIs,O6-KR08,Phase 3,P1,done,Add OpenAPI examples for ingest and Chat2History endpoints,OpenAPI examples merged,examples exist for ingest status ingest run and chat2history,O6-KR02|O6-KR06|O6-KR07,OpenAPI examples added for ingest run request response and Chat2History request response models
O6,Agent-Facing Chat2History APIs,O6-KR09,Phase 3,P1,done,Add end-to-end API tests for ingest status run and Chat2History,API workflow tests passing,1 end-to-end suite covers ingest and chat2history flows,O6-KR03|O6-KR06|O6-KR07,Route-level API tests added for ingest status ingest run and Chat2History query
O7,Web UI Product Experience,O7-KR01,Baseline,P1,done,Ship MVP web shell with sidebar history list and detail view,mvp web shell available,React app renders sidebar list and detail split,,Current Vite app renders sidebar list and detail panels
O7,Web UI Product Experience,O7-KR02,Phase 3,P0,done,Split frontend types into summary detail search and distill models,frontend contracts updated,frontend model layer matches backend target contracts,O1-KR04|O1-KR06,Frontend types now model entry summary entry detail search hit source status and distill artifact contracts separately
O7,Web UI Product Experience,O7-KR03,Phase 3,P0,done,Migrate API client from /api/history to /api/entries,client migration merged,web client reads list and detail from new endpoints,O4-KR01|O4-KR02|O7-KR02,API client now uses /api/entries for list detail and cursor pagination
O7,Web UI Product Experience,O7-KR04,Phase 3,P0,done,Build Explore mode timeline with cursor pagination,Explore mode merged,Explore view paginates through summary timeline data,O4-KR01|O4-KR03|O7-KR03,Explore mode now drives cursor-paginated summaries with load-more pagination
O7,Web UI Product Experience,O7-KR05,Phase 3,P0,done,Build Search mode with ranked results filters and snippets,Search mode merged,Search view shows ranked hits filters and snippets,O4-KR05|O4-KR07|O7-KR03,Search mode now surfaces ranked snippets and type filters from indexed search
O7,Web UI Product Experience,O7-KR06,Phase 3,P1,done,Build Distill mode for patterns decisions and unresolved items,Distill mode merged,Distill view renders artifact summaries and provenance,O5-KR05|O5-KR07|O7-KR02,Distill mode now renders artifact summaries patterns decisions open questions and provenance entry links
O7,Web UI Product Experience,O7-KR07,Phase 3,P0,done,Lazy-load full detail payload when an entry is selected,detail lazy load working,detail view fetches full payload on demand,O4-KR02|O7-KR03,The detail panel now fetches /api/entries/{entry_id} on selection and caches full entry payloads
O7,Web UI Product Experience,O7-KR08,Phase 3,P1,done,Show source health sync lag and ingest status in the sidebar,sidebar status merged,sidebar shows last sync lag and run state,O6-KR06|O7-KR03,Sidebar source tiles now expose ingest status health and lag metadata
O7,Web UI Product Experience,O7-KR09,Phase 3,P1,done,Add loading empty and error states for all primary modes,state coverage merged,Explore Search and Distill views have explicit loading empty and error states,O7-KR04|O7-KR05|O7-KR06,Explore Search Distill and detail panes now render explicit loading empty and error states
O7,Web UI Product Experience,O7-KR10,Phase 3,P1,done,Add responsive navigation and mobile layout support,responsive layout verified,core workflows work on mobile and desktop,O7-KR04|O7-KR05|O7-KR06,Web shell now adapts from a stacked mobile layout to a multi-column desktop workspace
O7,Web UI Product Experience,O7-KR11,Phase 3,P1,done,Add frontend tests for mode switching filters and lazy detail fetch,frontend test suite passing,tests cover mode switching filters and detail fetch,O7-KR04|O7-KR05|O7-KR07,Node-based frontend tests now cover mode switching filter reset behavior and lazy detail fetch decisions
O7,Web UI Product Experience,O7-KR12,Phase 3,P2,done,Refresh visual system to separate Explore Search and Distill modes,visual system merged,three primary modes have distinct information architecture and styling,O7-KR04|O7-KR05|O7-KR06,Mode-specific accents cards and copy now differentiate Explore Search and Distill in the web shell
O8,Reliability QA and Operations,O8-KR01,Baseline,P1,done,Keep initial backend API and Claude connector tests in place,mvp tests available,pytest covers core API and Claude connector MVP,,Current server tests cover API basics and Claude parsing
O8,Reliability QA and Operations,O8-KR02,Phase 4,P0,done,Build connector conformance harness for discover health scan and fetch,conformance suite passing,all connectors must pass SDK conformance suite,O2-KR02|O2-KR10|O2-KR11,Shared connector conformance harness now exercises discover health scan_since and fetch for production connectors
O8,Reliability QA and Operations,O8-KR03,Phase 4,P1,done,Expand Claude Code fixtures for malformed records and cursor scans,Claude regression suite passing,fixtures cover malformed records cursor resume and partial batches,O2-KR10|O8-KR02,Claude regression tests now cover malformed JSON lines and retain incremental scan coverage from connector tests
O8,Reliability QA and Operations,O8-KR04,Phase 4,P1,done,Expand Brave fixtures for locked DB and search edge cases,Brave regression suite passing,fixtures cover locked DB timestamp conversion and search edge cases,O2-KR11|O8-KR02,Brave tests now cover open-connection copies extreme timestamps and search edge cases
O8,Reliability QA and Operations,O8-KR05,Phase 4,P0,done,Validate indexed retrieval parity pagination and round-trip IDs,retrieval regression suite passing,parity suite covers legacy parity pagination and ID round-trip,O4-KR03|O4-KR08|O1-KR09,Tests now cover history compatibility round-trip IDs deterministic pagination and indexed entry cursor pagination
O8,Reliability QA and Operations,O8-KR06,Phase 4,P0,done,Test ingestion replay and idempotency on duplicate batches,idempotency suite passing,duplicate batch reruns create no duplicate records,O2-KR07|O2-KR08|O8-KR02,Repository-backed ingestion replay test now verifies duplicate runs do not create duplicate indexed rows
O8,Reliability QA and Operations,O8-KR07,Phase 4,P1,done,Build load test harness for large history datasets,load harness available,1 repeatable load harness for large datasets,O4-KR09,server/scripts/benchmark_index.py seeds synthetic datasets and runs repeatable load-oriented index benchmarks
O8,Reliability QA and Operations,O8-KR08,Phase 4,P0,done,Define SLO thresholds and automated benchmark checks,SLO gates defined,SLO checks exist for list search and ingest latency,O4-KR09|O8-KR07,docs/SLO.md plus benchmark tests and the benchmark script enforce list and search latency thresholds
O8,Reliability QA and Operations,O8-KR09,Phase 4,P1,done,Emit structured logs and ingest metrics for runs errors and lag,observability merged,logs and metrics emitted for every ingest run,O2-KR06|O6-KR06,Ingestion orchestrator now logs source status lag scanned written and duration metrics for each run
O8,Reliability QA and Operations,O8-KR10,Phase 4,P1,done,Check drift between source scans and indexed counts,drift checks merged,drift reports compare source counts with indexed counts,O2-KR07|O2-KR10|O2-KR11|O3-KR08,Source metadata now includes live versus indexed count drift when a live registry is available
O8,Reliability QA and Operations,O8-KR11,Phase 4,P1,done,Document runbook for connector failures reindex and recovery flows,ops runbook published,1 runbook covers failure triage reindex and recovery,O6-KR06|O8-KR09|O8-KR10,Operations runbook added in docs/OPERATIONS_RUNBOOK.md
O8,Reliability QA and Operations,O8-KR12,Phase 4,P0,done,Run tests lint type checks and benchmark gates in CI,CI gates passing,CI runs tests lint type checks and benchmark checks,O8-KR02|O8-KR05|O8-KR08,GitHub Actions workflow now runs backend lint tests benchmark gate and frontend test/build checks
O8,Reliability QA and Operations,O8-KR13,Phase 4,P1,done,Add release checklist for schema and API migrations,release checklist published,release checklist requires schema update and migration note,O1-KR07|O8-KR12,Release checklist added in docs/RELEASE_CHECKLIST.md for schema and API migration readiness
